Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,BISHNU PADA RAY,BJP,102182,U01,1,1
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,INC,77829,U01,1,2
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,MANOJ PAUL,ANTCC,8236,U01,1,3
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,D AYYAPPAN,CPIM,6009,U01,1,4
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,V.K. ABDUL AZIZ,IND,2195,U01,1,5
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,K J B SELVARAJ,AIADMK,911,U01,1,6
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,DR ARUN KUMAR MALLIK,BSP,714,U01,1,7
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,RINKU MALA MONDAL,IND,539,U01,1,8
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,K VENKAT RAM BABU,IND,506,U01,1,9
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,USHA KUMARI,IND,378,U01,1,10
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,SALAMAT MONDAL,SUCI(C),349,U01,1,11
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANAND RAMNATH ARLEKAR,IND,342,U01,1,12
2024,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,NOTA,NOTA,1802,U01,1,-1
2024,Andhra Pradesh,AMALAPURAM,G M HARISH (BALAYOGI),TDP,786149,S01,24,1
2024,Andhra Pradesh,AMALAPURAM,RAPAKA VARAPRASADA RAO,YSRCP,450362,S01,24,2
2024,Andhra Pradesh,AMALAPURAM,GOUTHAM JANGA,INC,14523,S01,24,3
2024,Andhra Pradesh,AMALAPURAM,DORABABU YALLA,BSP,5202,S01,24,4
2024,Andhra Pradesh,AMALAPURAM,KATRU NAGA BABU,TNG,3736,S01,24,5
2024,Andhra Pradesh,AMALAPURAM,VADDI LALITH KUMAR,IND,2974,S01,24,6
2024,Andhra Pradesh,AMALAPURAM,MAKEY DAVY PRASAD,IND,2104,S01,24,7
2024,Andhra Pradesh,AMALAPURAM,GUDE VENKATESWARULU,IND,1741,S01,24,8
2024,Andhra Pradesh,AMALAPURAM,RAMESH JILLELLA,Jatiya Jana Sena Party,866,S01,24,9
2024,Andhra Pradesh,AMALAPURAM,YALANGI RAMESH,JRB,738,S01,24,10
2024,Andhra Pradesh,AMALAPURAM,MATHA KRISHNA,PPOI,718,S01,24,11
2024,Andhra Pradesh,AMALAPURAM,GIDDI JNANA PRAKASA RAO,RPI,717,S01,24,12
2024,Andhra Pradesh,AMALAPURAM,YADLA RAJESH,NCP,628,S01,24,13
2024,Andhra Pradesh,AMALAPURAM,KAPA KALYAN,RPI(A),579,S01,24,14
2024,Andhra Pradesh,AMALAPURAM,PATHURI RAMESH,Peoples Party of India (Democratic),502,S01,24,15
2024,Andhra Pradesh,AMALAPURAM,NOTA,NOTA,13418,S01,24,16
2024,Andhra Pradesh,ANAKAPALLI,C.M.RAMESH,BJP,750027,S01,22,1
2024,Andhra Pradesh,ANAKAPALLI,BUDI MUTYALA NAIDU,YSRCP,459762,S01,22,2
2024,Andhra Pradesh,ANAKAPALLI,VEGI VENKATESH,INC,24833,S01,22,3
2024,Andhra Pradesh,ANAKAPALLI,PALAKA SREERAMA MURTHY,BSP,19082,S01,22,4
2024,Andhra Pradesh,ANAKAPALLI,VANKAYALA RAMACHANDRA RAO,IND,4001,S01,22,5
2024,Andhra Pradesh,ANAKAPALLI,LOVARAJU SIDDHA,IND,3845,S01,22,6
2024,Andhra Pradesh,ANAKAPALLI,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,S01,22,7
2024,Andhra Pradesh,ANAKAPALLI,GARA SURYA RAO,IND,3116,S01,22,8
2024,Andhra Pradesh,ANAKAPALLI,APPALA RAJU NAMMI,BCYP,2589,S01,22,9
2024,Andhra Pradesh,ANAKAPALLI,NAGESWARA RAO PETLA,IND,2179,S01,22,10
2024,Andhra Pradesh,ANAKAPALLI,ADARI SARAT CHANDRA,JBNP,1886,S01,22,11
2024,Andhra Pradesh,ANAKAPALLI,VIJAYA LAKSHMI KARRI,PPOI,1578,S01,22,12
2024,Andhra Pradesh,ANAKAPALLI,DR. THUMMAPALA HARI  SHANKAR,IND,1567,S01,22,13
2024,Andhra Pradesh,ANAKAPALLI,JUNNURI J SRINIVAS,IND,1195,S01,22,14
2024,Andhra Pradesh,ANAKAPALLI,APPALANAIDU TUMMAGUNTA,IND,1055,S01,22,15
2024,Andhra Pradesh,ANAKAPALLI,NOTA,NOTA,26084,S01,22,16
2024,Andhra Pradesh,ANANTAPUR,AMBICA G LAKSHMINARAYANA VALMIKI,TDP,755862,S01,36,1
2024,Andhra Pradesh,ANANTAPUR,MALAGUNDLA SANKAR NARAYANA,YSRCP,573769,S01,36,2
2024,Andhra Pradesh,ANANTAPUR,MALLIKARJUNA VAJJALA,INC,41954,S01,36,3
2024,Andhra Pradesh,ANANTAPUR,G.V.RAMANA REDDY,IND,6436,S01,36,4
2024,Andhra Pradesh,ANANTAPUR,BANASI NARAYANAPPA,BSP,6280,S01,36,5
2024,Andhra Pradesh,ANANTAPUR,V.MURALI PRASAD REDDY,IND,5775,S01,36,6
2024,Andhra Pradesh,ANANTAPUR,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,S01,36,7
2024,Andhra Pradesh,ANANTAPUR,M.SURENDRA,PPOI,2927,S01,36,8
2024,Andhra Pradesh,ANANTAPUR,U.C.VENKATASUBBAIAH,JCVIVP,2533,S01,36,9
2024,Andhra Pradesh,ANANTAPUR,P.CHOWDESWARI,IND,1514,S01,36,10
2024,Andhra Pradesh,ANANTAPUR,VADLA KESAVAIAH,IND,1488,S01,36,11
2024,Andhra Pradesh,ANANTAPUR,B.RAGHAVENDRA PRASAD,IND,1317,S01,36,12
2024,Andhra Pradesh,ANANTAPUR,KETHIREDDY RAGHUNATHAREDDY,IND,1086,S01,36,13
2024,Andhra Pradesh,ANANTAPUR,LOKANATH GOWD SURAGOWINI,IND,1085,S01,36,14
2024,Andhra Pradesh,ANANTAPUR,SREERANGARAJULA GOPINATH ROYAL,IND,903,S01,36,15
2024,Andhra Pradesh,ANANTAPUR,SHAIK.NIZAM,SP,749,S01,36,16
2024,Andhra Pradesh,ANANTAPUR,RAMAVTH CHINNA RAMAPPA NAIK,JRB,735,S01,36,17
2024,Andhra Pradesh,ANANTAPUR,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,S01,36,18
2024,Andhra Pradesh,ANANTAPUR,B.NAGAMUTHYALU,SUCI(C),566,S01,36,19
2024,Andhra Pradesh,ANANTAPUR,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,S01,36,20
2024,Andhra Pradesh,ANANTAPUR,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,S01,36,21
2024,Andhra Pradesh,ANANTAPUR,NOTA,NOTA,9014,S01,36,22
