Year,State-code,State,Constituency-code,Constituency,Name,Party,Rank
2019,S13,Maharashtra,1,Nandurbar,DR.GAVIT HEENA VIJAYKUMAR,BJP,1
2019,S10,Karnataka,8,Koppal,KARADI SANGANNA AMARAPPA,BJP,1
2019,S20,Rajasthan,16,Jodhpur,GAJENDRASINGH SHEKHAWAT,BJP,1
2019,S28,Uttarakhand,4,Nainital-udhamsingh Nagar,BHAGAT SINGH KOSHYARI,BJP,1
2019,S22,Tamil Nadu,24,Tiruchirappalli,KUMAR.P,ADMK,1
2019,S28,Uttarakhand,5,Hardwar,RAMESH POKHRIYAL NISHANK,BJP,1
2019,S22,Tamil Nadu,36,Thoothukkudi,JEYASINGH THIYAGARAJ NATTERJEE.J,ADMK,1
2019,S29,Telangana,16,Mahabubabad,PROF. AZMEERA SEETARAM NAIK,TRS,1
2019,S27,Jharkhand,11,Khunti,KARIA MUNDA,BJP,1
2019,S10,Karnataka,21,Mysore,PRATHAP SIMHA,BJP,1
2019,S12,Madhya Pradesh,11,SIDHI,RITI PATHAK,BJP,1
2019,S12,Madhya Pradesh,13,JABALPUR,RAKESH SINGH,BJP,1
2019,S10,Karnataka,9,Bellary,B. SREERAMULU,BJP,1
2019,S18,Odisha,14,Cuttack,BHARTRUHARI MAHATAB,BJD,1
2019,S29,Telangana,5,Zahirabad,B.B. PATIL,TRS,1
2019,S22,Tamil Nadu,31,Sivaganga,SENTHILNATHAN PR,ADMK,1
2019,S22,Tamil Nadu,39,Kanniyakumari,RADHAKRISHNAN P.,BJP,1
2019,S20,Rajasthan,24,Kota,OM BIRLA,BJP,1
2019,S20,Rajasthan,19,Udaipur,ARJUNLAL MEENA,BJP,1
2019,S10,Karnataka,11,Dharwad,PRALHAD JOSHI,BJP,1
2019,S09,Jammu & Kashmir,5,Udhampur,DR. JITENDRA SINGH,BJP,1
2019,S13,Maharashtra,48,Hatkanangle,RAJU SHETTY,SWP,1
2019,S10,Karnataka,3,Bagalkot,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,BJP,1
2019,S10,Karnataka,18,Chitradurga,B.N.CHANDRAPPA,INC,1
2019,S13,Maharashtra,47,Kolhapur,DHANANJAY BHIMRAO MAHADIK,NCP,1
2019,S12,Madhya Pradesh,9,SATNA,GANESH SINGH,BJP,1
2019,S22,Tamil Nadu,21,Pollachi,MAHENDRAN.C,ADMK,1
2019,S24,Uttar Pradesh,1,Saharanpur,RAGHAV LAKHANPAL,BJP,1
2019,S22,Tamil Nadu,37,Tenkasi,VASANTHI.M,ADMK,1
2019,S24,Uttar Pradesh,9,Amroha,KANWAR SINGH TANWAR,BJP,1
2019,S09,Jammu & Kashmir,4,Ladakh,THUPSTAN CHHEWANG,BJP,1
2019,S29,Telangana,1,Adilabad,GODAM NAGESH,TRS,1
2019,S18,Odisha,2,Sundargarh,JUAL @ JUEL ORAM,BJP,1
2019,S26,Chhattisgarh,7,DURG,TAMRADHWAJ SAHU,INC,1
2019,S22,Tamil Nadu,1,Thiruvallur,VENUGOPAL.P.(DR),ADMK,1
2019,S29,Telangana,6,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,TRS,1
2019,U04,Daman & Diu,1,Daman & diu,PATEL LALUBHAI BABUBHAI,BJP,1
2019,S22,Tamil Nadu,34,Virudhunagar,RADHAKRISHNAN T,ADMK,1
2019,S20,Rajasthan,21,Chittorgarh,CHANDRA PRAKASH JOSHI,BJP,1
2019,S18,Odisha,15,Kendrapara,BAIJAYANT PANDA,BJD,1
2019,S22,Tamil Nadu,30,Thanjavur,PARASURAMAN.K,ADMK,1
2019,S09,Jammu & Kashmir,6,Jammu,JUGAL KISHORE,BJP,1
2019,S18,Odisha,17,Puri,PINAKI MISRA,BJD,1
2019,S22,Tamil Nadu,17,Erode,SELVAKUMARA CHINNAYAN S,ADMK,1
2019,S20,Rajasthan,20,Banswara,MANSHANKAR NINAMA,BJP,1
2019,S18,Odisha,13,Kandhamal,HEMENDRA CHANDRA SINGH,BJD,1
2019,S02,Arunachal Pradesh,1,ARUNACHAL WEST,KIREN RIJIJU,BJP,1
2019,S22,Tamil Nadu,18,Tiruppur,V.SATHYABAMA,ADMK,1
2019,S10,Karnataka,13,Davanagere,G M SIDDESHWARA,BJP,1
2019,S20,Rajasthan,17,Barmer,COL. SONA RAM,BJP,1
2019,S05,Goa,2,South Goa,ADV. NARENDRA KESHAV SAWAIKAR,BJP,1
2019,S06,Gujarat,22,Bharuch,VASAVA MANSUKHBHAI DHANJIBHAI,BJP,1
2019,S11,Kerala,20,Thiruvananthapuram,DR. SHASHI THAROOR,INC,1
2019,S06,Gujarat,21,Chhota Udaipur,RAMSINH RATHWA,BJP,1
2019,S18,Odisha,7,Bhadrak,ARJUN CHARAN SETHI,BJD,1
2019,S06,Gujarat,23,Bardoli,VASAVA PARBHUBHAI NAGARBHAI,BJP,1
2019,S01,Andhra Pradesh,1,Aruku,KOTHAPALLI GEETHA,YSRCP,1
2019,S22,Tamil Nadu,28,Mayiladuthurai,BHARATHI MOHAN R.K,ADMK,1
2019,S18,Odisha,8,Jajpur,RITA TARAI,BJD,1
2019,S22,Tamil Nadu,19,Nilgiris,"GOPALAKRISHNAN, C.",ADMK,1
2019,S22,Tamil Nadu,6,Kancheepuram,MARAGATHAM  K,ADMK,1
2019,S10,Karnataka,10,Haveri,UDASI SHIVAKUMAR CHANNABASAPPA,BJP,1
2019,S01,Andhra Pradesh,2,Srikakulam,RAMMOHAN NAIDU KINJARAPU,TDP,1
2019,S10,Karnataka,12,Uttara Kannada,ANANTKUMAR HEGDE,BJP,1
2019,S29,Telangana,13,Nalgonda,GUTHA SUKHENDER REDDY,INC,1
2019,S11,Kerala,16,Mavelikkara,KODIKUNNIL SURESH,INC,1
2019,S12,Madhya Pradesh,17,HOSHANGABAD,UDAY PRATAP SINGH,BJP,1
2019,S11,Kerala,17,Pathanamthitta,ANTO ANTONY,INC,1
2019,S11,Kerala,19,Attingal,DR.A .SAMPATH,CPM,1
2019,S26,Chhattisgarh,11,KANKER,VIKRAM  USENDI,BJP,1
2019,S11,Kerala,18,Kollam,N.K.PREMACHANDRAN,RSP,1
2019,S18,Odisha,10,Bolangir,KALIKESH NARAYAN SINGH DEO,BJD,1
2019,S29,Telangana,14,Bhongir,DR. BOORA NARSAIAH GOUD,TRS,1
2019,S20,Rajasthan,1,Ganganagar,NIHALCHAND,BJP,1
2019,S26,Chhattisgarh,9,MAHASAMUND,CHANDU LAL SAHU (CHANDU BHAIYA),BJP,1
2019,S12,Madhya Pradesh,12,SHAHDOL,DALPAT SINGH PARASTE,BJP,1
2019,S18,Odisha,16,Jagatsinghpur,KULAMANI SAMAL,BJD,1
2019,S18,Odisha,21,Koraput,JHINA HIKAKA,BJD,1
2019,S25,West Bengal,25,Howrah,PRASUN BANERJEE,AITC,1
2019,S11,Kerala,7,Ponnani,E. T. MOHAMMED BASHEER,IUML,1
2019,S18,Odisha,9,Dhenkanal,TATHAGATA SATPATHY,BJD,1
2019,S22,Tamil Nadu,22,Dindigul,UDHAYA KUMAR .M,ADMK,1
2019,S03,Assam,14,Lakhimpur,SARBANANDA SONOWAL,BJP,1
2019,S22,Tamil Nadu,33,Theni,"PARTHIPAN, R.",ADMK,1
2019,S01,Andhra Pradesh,18,Kurnool,BUTTA RENUKA,YSRCP,1
2019,S29,Telangana,17,Khammam,PONGULETI  SRINIVASA REDDY,YSRCP,1
2019,S06,Gujarat,26,Valsad,DR. K.C.PATEL,BJP,1
2019,S10,Karnataka,22,Chamarajanagar,R. DHRUVANARAYANA,INC,1
2019,S11,Kerala,14,Kottayam,JOSE K. MANI,KEC(M),1
2019,S26,Chhattisgarh,4,KORBA,DR. BANSHILAL MAHTO,BJP,1
2019,S11,Kerala,6,Malappuram,E. AHAMED,IUML,1
2019,S18,Odisha,6,Balasore,RABINDRA KUMAR JENA,BJD,1
2019,S10,Karnataka,1,Chikkodi,PRAKASH BABANNA HUKKERI,INC,1
2019,S22,Tamil Nadu,9,Krishnagiri,ASHOK KUMAR.K,ADMK,1
2019,S10,Karnataka,15,Udupi Chikmagalur,SHOBHA KARANDLAJE,BJP,1
2019,S18,Odisha,11,Kalahandi,ARKA KESHARI DEO,BJD,1
2019,S26,Chhattisgarh,6,RAJNANDGAON,ABHISHEK SINGH,BJP,1
2019,S22,Tamil Nadu,26,Cuddalore,ARUNMOZHITHEVAN.A,ADMK,1
2019,S01,Andhra Pradesh,22,Nellore,MEKAPATI RAJAMOHAN REDDY,YSRCP,1
2019,S11,Kerala,13,Idukki,ADV.JOICE GEORGE,IND,1
2019,S10,Karnataka,14,Shimoga,B. S. YEDDYURAPPA,BJP,1
2019,S18,Odisha,3,Sambalpur,NAGENDRA KUMAR PRADHAN,BJD,1
2019,S22,Tamil Nadu,29,Nagapattinam,GOPAL. DR. K,ADMK,1
2019,S10,Karnataka,27,Chikkballapur,M VEERAPPA MOILY,INC,1
2019,S25,West Bengal,40,Asansol,BABUL SUPRIYA BARAL (BABUL SUPRIYO),BJP,1
2019,S05,Goa,1,North Goa,SHRIPAD YESSO NAIK,BJP,1
2019,S25,West Bengal,15,Barrackpore,DINESH TRIVEDI,AITC,1
2019,S18,Odisha,5,Mayurbhanj,RAMA CHANDRA HANSDAH,BJD,1
2019,S10,Karnataka,16,Hassan,H.D. DEVEGOWDA,JD(S),1
2019,S10,Karnataka,28,Kolar,K.H.MUNIYAPPA,INC,1
2019,S01,Andhra Pradesh,12,Vijayawada,KESINENI SRINIVAS (NANI),TDP,1
2019,S10,Karnataka,19,Tumkur,MUDDAHANUMEGOWDA.S.P.,INC,1
2019,S03,Assam,13,Dibrugarh,RAMESWAR TELI,BJP,1
2019,S26,Chhattisgarh,1,SARGUJA,KAMALBHAN SINGH MARABI,BJP,1
2019,S22,Tamil Nadu,15,Salem,PANNERSELVAM.V,ADMK,1
2019,S12,Madhya Pradesh,15,BALAGHAT,BODHSINGH BHAGAT,BJP,1
2019,S03,Assam,3,Autonomous District,BIREN SINGH ENGTI,INC,1
2019,S03,Assam,12,Jorhat,KAMAKHYA PRASAD TASA,BJP,1
2019,S22,Tamil Nadu,11,Tiruvannamalai,VANAROJA R,ADMK,1
2019,S11,Kerala,12,Ernakulam,PROF. K.V. THOMAS,INC,1
2019,S12,Madhya Pradesh,14,MANDLA,FAGGAN SINGH KULASTE,BJP,1
2019,S11,Kerala,8,Palakkad,M B RAJESH,CPM,1
2019,S18,Odisha,1,Bargarh,PRABHAS KUMAR SINGH,BJD,1
2019,S22,Tamil Nadu,27,Chidambaram,"CHANDRAKASI, M",ADMK,1
2019,S01,Andhra Pradesh,21,Kadapa,Y.S. AVINASH REDDY,YSRCP,1
2019,S26,Chhattisgarh,2,RAIGARH,VISHNU DEO SAI,BJP,1
2019,S11,Kerala,10,Thrissur,C. N. JAYADEVAN,CPI,1
2019,S10,Karnataka,17,Dakshina Kannada,NALIN KUMAR KATEEL,BJP,1
2019,S18,Odisha,4,Keonjhar,SAKUNTALA LAGURI,BJD,1
2019,S22,Tamil Nadu,7,Arakkonam,"HARI, G.",ADMK,1
2019,S12,Madhya Pradesh,29,BETUL,JYOTI DHURVE,BJP,1
2019,S22,Tamil Nadu,13,Viluppuram,RAJENDRAN S,ADMK,1
2019,S01,Andhra Pradesh,6,Kakinada,THOTA NARASIMHAM,TDP,1
2019,S22,Tamil Nadu,14,Kallakurichi,KAMARAJ. K,ADMK,1
2019,S01,Andhra Pradesh,24,Rajampet,P.V.MIDHUN REDDY,YSRCP,1
2019,S25,West Bengal,27,Srerampur,KALYAN BANERJEE,AITC,1
2019,S01,Andhra Pradesh,13,Guntur,JAYADEV GALLA,TDP,1
2019,S22,Tamil Nadu,25,Perambalur,"MARUTHARAJAA, R.P.",ADMK,1
2019,S25,West Bengal,4,Darjeeling,S.S.AHLUWALIA,BJP,1
2019,S22,Tamil Nadu,12,Arani,V.ELUMALAI,ADMK,1
2019,S21,Sikkim,1,Sikkim,PREM DAS RAI,SDF,1
2019,S18,Odisha,12,Nabarangpur,BALABHADRA MAJHI,BJD,1
2019,S01,Andhra Pradesh,23,Tirupati,VARAPRASAD RAO VELAGAPALLI,YSRCP,1
2019,S03,Assam,1,Karimganj,RADHESHYAM BISWAS,AIUDF,1
2019,S03,Assam,9,Tezpur,RAM PRASAD SARMAH,BJP,1
2019,S22,Tamil Nadu,23,Karur,"THAMBIDURAI,M.",ADMK,1
2019,S03,Assam,2,Silchar,SUSHMITA DEV,INC,1
2019,S25,West Bengal,10,Baharampur,ADHIR RANJAN CHOWDHURY,INC,1
2019,U03,Dadra Nagar & Haveli,1,Dadar & Nagar Haveli,PATEL NATUBHAI GOMANBHAI,BJP,1
2019,S25,West Bengal,5,Raiganj,MD. SALIM,CPM,1
2019,S22,Tamil Nadu,16,Namakkal,SUNDARAM P.R,ADMK,1
2019,S11,Kerala,15,Alappuzha,K C VENUGOPAL,INC,1
2019,S10,Karnataka,20,Mandya,C.S.PUTTARAJU,JD(S),1
2019,S11,Kerala,4,Wayanad,M I SHANAVAS,INC,1
2019,S25,West Bengal,7,Maldaha Uttar,MAUSAM NOOR,INC,1
2019,S01,Andhra Pradesh,19,Anantapur,J.C. DIVAKAR REDDI,TDP,1
2019,S11,Kerala,9,Alathur,P.K.BIJU,CPM,1
2019,S11,Kerala,11,Chalakudy,INNOCENT,IND,1
2019,S01,Andhra Pradesh,17,Nandyal,S.P.Y REDDY,YSRCP,1
2019,S22,Tamil Nadu,10,Dharmapuri,ANBUMANI RAMADOSS,PMK,1
2019,S01,Andhra Pradesh,3,Vizianagaram,ASHOK GAJAPATHI RAJU PUSAPATI,TDP,1
2019,S11,Kerala,1,Kasaragod,P KARUNAKARAN,CPM,1
2019,S25,West Bengal,9,Jangipur,ABHIJIT MUKHERJEE,INC,1
2019,S03,Assam,7,Gauhati,BIJOYA CHAKRAVARTY,BJP,1
2019,S01,Andhra Pradesh,5,Anakapalli,MUTTAMSETTI SRINIVASA RAO (AVANTHI),TDP,1
2019,S25,West Bengal,8,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY,INC,1
2019,S15,Meghalaya,2,Tura,PURNO AGITOK SANGMA,NPEP,1
2019,S01,Andhra Pradesh,9,Narsapuram,GOKARAJU GANGA RAJU,BJP,1
2019,S14,Manipur,1,Inner manipur,DR. THOKCHOM MEINYA,INC,1
2019,S25,West Bengal,26,Uluberia,SULTAN AHMED,AITC,1
2019,U07,Puducherry,1,Puducherry,R. RADHAKRISHNAN,AINRC,1
2019,S11,Kerala,5,Kozhikode,M .K RAGHAVAN,INC,1
2019,S03,Assam,11,Kaliabor,GOURAV GOGOI,INC,1
2019,S12,Madhya Pradesh,16,CHHINDWARA,KAMAL NATH,INC,1
2019,S25,West Bengal,28,Hooghly,DR. RATNA DE (NAG),AITC,1
2019,S11,Kerala,3,Vadakara,MULLAPPALLY RAMACHANDRAN,INC,1
2019,S25,West Bengal,39,Burdwan - durgapur,DR. MAMTAZ SANGHAMITA,AITC,1
2019,S25,West Bengal,14,Bangaon,KAPIL KRISHNA THAKUR,AITC,1
2019,S01,Andhra Pradesh,10,Eluru,MAGANTI VENKATESWARA RAO (BABU),TDP,1
2019,S11,Kerala,2,Kannur,P K SREEMATHI TEACHER,CPM,1
2019,S17,Nagaland,1,Nagaland,NEIPHIU RIO,NPF,1
2019,S03,Assam,5,Kokrajhar,NABA KUMAR SARANIA (HIRA),IND,1
2019,S23,Tripura,2,Tripura East,JITENDRA CHAUDHURY,CPM,1
2019,S23,Tripura,1,Tripura West,SANKAR PRASAD DATTA,CPM,1
2019,S03,Assam,10,Nowgong,RAJEN GOHAIN,BJP,1
2019,S25,West Bengal,29,Arambagh,APARUPA PODDAR (AFRIN ALI),AITC,1
2019,S02,Arunachal Pradesh,2,ARUNACHAL EAST,NINONG ERING,INC,1
2019,S03,Assam,8,Mangaldoi,RAMEN DEKA,BJP,1
2019,S25,West Bengal,6,Balurghat,ARPITA GHOSH,AITC,1
2019,S01,Andhra Pradesh,25,Chittoor,NARAMALLI SIVAPRASAD,TDP,1
2019,S25,West Bengal,2,Alipurduars,DASRATH TIRKEY,AITC,1
2019,S25,West Bengal,12,Krishnanagar,TAPAS PAUL,AITC,1
2019,S01,Andhra Pradesh,11,Machilipatnam,KONAKALLA NARAYANA RAO,TDP,1
2019,S25,West Bengal,1,Cooch behar,RENUKA SINHA,AITC,1
2019,S01,Andhra Pradesh,7,Amalapuram,DR PANDULA RAVINDRA BABU,TDP,1
2019,S01,Andhra Pradesh,20,Hindupur,KRISTAPPA NIMMALA,TDP,1
2019,S25,West Bengal,13,Ranaghat,TAPAS MANDAL,AITC,1
2019,S14,Manipur,2,Outer manipur,THANGSO BAITE,INC,1
2019,S25,West Bengal,11,Murshidabad,BADARUDDOZA KHAN,CPM,1
2019,S25,West Bengal,38,Bardhaman Purba,SUNIL KUMAR MONDAL,AITC,1
2019,U06,Lakshadweep,1,Lakshadweep,MOHAMMED FAIZAL P.P.,NCP,1
2019,S01,Andhra Pradesh,16,Ongole,Y.V.SUBBA REDDY,YSRCP,1
2019,S25,West Bengal,42,Birbhum,SATABDI ROY,AITC,1
2019,S01,Andhra Pradesh,14,Narasaraopet,SAMBASIVA RAO RAYAPATI,TDP,1
2019,S01,Andhra Pradesh,15,Bapatla,MALYADRI SRIRAM,TDP,1
2019,S25,West Bengal,41,Bolpur,ANUPAM HAZRA,AITC,1
2019,S25,West Bengal,3,Jalpaiguri,BIJOY CHANDRA BARMAN,AITC,1
2019,S01,Andhra Pradesh,8,Rajahmundry,MURALI MOHAN MAGANTI,TDP,1
2019,S03,Assam,6,Barpeta,SIRAJ UDDIN AJMAL,AIUDF,1
2019,S03,Assam,4,Dhubri,BADRUDDIN AJMAL,AIUDF,1
2019,S04,Bihar,1,Valmiki Nagar,SATISH CHANDRA DUBEY,BJP,1
2019,S04,Bihar,2,Paschim Champaran,DR. SANJAY JAISWAL,BJP,1
2019,S04,Bihar,3,Purvi Champaran,RADHA MOHAN SINGH,BJP,1
2019,S04,Bihar,4,Sheohar,RAMA DEVI,BJP,1
2019,S04,Bihar,16,Vaishali,RAMA KISHORE SINGH,LJP,1
2019,S04,Bihar,17,Gopalganj (SC),JANAK RAM,BJP,1
2019,S04,Bihar,18,Siwan,OM PRAKASH YADAV,BJP,1
2019,S04,Bihar,19,Maharajganj,"JANARDAN SINGH ""SIGRIWAL""",BJP,1
2019,S04,Bihar,29,Nalanda,KAUSHLENDRA KUMAR,JD(U),1
2019,S04,Bihar,30,Patna Sahib,SHATRUGHANA SINHA,BJP,1
2019,S04,Bihar,31,Pataliputra,RAM KRIPAL YADAV,BJP,1
2019,S04,Bihar,32,Arrah,RAJ KUMAR SINGH,BJP,1
2019,S04,Bihar,33,Buxar,ASHWINI KUMAR CHOUBEY,BJP,1
2019,S04,Bihar,34,Sasaram (SC),CHHEDI PASWAN,BJP,1
2019,S04,Bihar,35,Karakat,UPENDRA KUSHWAHA,BLSP,1
2019,S04,Bihar,36,Jahanabad,DR. ARUN KUMAR,BLSP,1
2019,S07,Haryana,1,Ambala,RATTAN LAL KATARIA,BJP,1
2019,S07,Haryana,2,Kurukshetra,RAJ KUMAR SAINI,BJP,1
2019,S07,Haryana,3,Sirsa,CHARANJEET SINGH RORI,INLD,1
2019,S07,Haryana,4,Hisar,DUSHYANT CHAUTALA,INLD,1
2019,S07,Haryana,5,Karnal,ASHWINI KUMAR,BJP,1
2019,S07,Haryana,6,Sonipat,RAMESH CHANDER,BJP,1
2019,S07,Haryana,7,Rohtak,DEEPENDER SINGH HOODA,INC,1
2019,S07,Haryana,8,Bhiwani-Mahendragarh,DHARAMBIR S/O BHALE RAM,BJP,1
2019,S07,Haryana,9,Gurgaon,INDERJIT SINGH RAO,BJP,1
2019,S07,Haryana,10,Faridabad,KRISHAN PAL,BJP,1
2019,S08,Himachal Pradesh,1,Kangra,SHANTA KUMAR,BJP,1
2019,S08,Himachal Pradesh,2,Mandi,RAM SWAROOP SHARMA,BJP,1
2019,S08,Himachal Pradesh,3,Hamirpur,ANURAG SINGH THAKUR,BJP,1
2019,S08,Himachal Pradesh,4,Shimla,VIRENDER KASHYAP,BJP,1
2019,S12,Madhya Pradesh,1,MORENA,ANOOP MISHRA,BJP,1
2019,S12,Madhya Pradesh,2,BHIND,DR. BHAGIRATH PRASAD,BJP,1
2019,S12,Madhya Pradesh,3,GWALIOR,NARENDRA SINGH TOMAR,BJP,1
2019,S12,Madhya Pradesh,4,GUNA,JYOTIRADITYA M SCINDIA,INC,1
2019,S12,Madhya Pradesh,5,SAGAR,LAXMI NARAYAN YADAV,BJP,1
2019,S12,Madhya Pradesh,18,VIDISHA,SUSHMA SWARAJ,BJP,1
2019,S12,Madhya Pradesh,19,BHOPAL,ALOK SANJAR,BJP,1
2019,S12,Madhya Pradesh,20,RAJGARH,RODMAL NAGAR,BJP,1
2019,S12,Madhya Pradesh,21,DEWAS,MANOHAR UNTWAL,BJP,1
2019,S12,Madhya Pradesh,22,UJJAIN,PROF. CHINTAMANI MALVIYA,BJP,1
2019,S12,Madhya Pradesh,23,MANDSOUR,SUDHIR GUPTA,BJP,1
2019,S12,Madhya Pradesh,24,RATLAM,DILEEPSINGH BHURIA,BJP,1
2019,S12,Madhya Pradesh,25,DHAR,SAVITRI THAKUR,BJP,1
2019,S12,Madhya Pradesh,26,INDORE,SUMITRA MAHAJAN (TAI),BJP,1
2019,S12,Madhya Pradesh,27,KHARGONE,SUBHASH PATEL,BJP,1
