ABBREVIATION,PARTY
Pb. F,Punjab Front
RPMI,Revolutionary Marxist Party of India
JCC,Janta Congress Chhattisgarh
GGP,Gondwana Ganatantra Party
JSP,Jana Sena Party
JBNP,Jai Bharat National Party
JRB,Jaibhim Rao Bharat Party
BAP,Bharat Adivasi Party
IPBP,India Praja Bandhu Party
BCYP,Bharata Chaitanya Yuvajana Party
MCPI(U),Marxist CPI (United)
ILP(AP),Indian Labour Party (Ambedkar Phule)
LJD,Loktantrik Janta Dal
YCP,Yuvajana Sramika Rythu Congress Party
JCVIVP,Jaathia Chethi Vruthula Ikya Vedika Party
AIUDF,ALL INDIA UNITED DEMOCRATIC FRONT
SHS(UBT),SHIV SENA (UDDHAV BALASAHEB THACKREY)
VPP(I),VOICE OF THE PEOPLE PARTY
ZPM,Zoram People's Movement
NDPP,NATIONALIST DEMOCRATIC PROGRESSIVE PARTY
RLPP,RASHTRIYA LOKTANTRIK PARTY
APS,APNA DAL (SONEYLAL)
ASP(KR),AAZAD SAMAJ PARTY (KANSHI RAM)
BSCP,BHARTIYA SHAKTI CHETNA PARTY



