ABBREVIATION,PARTY
BKKP,Bharatiya Krantikari Kammand Party
BKLJP,Bharat Ki Lok Jimmedar Party
BKMP,Bhartiya Kisan Mazdoor Party
BKP(H),Bharatiya Krantikari Parishad (H)
BKS,Bharatiya Kranti Sena
BKSD(ML),Bharat Ka Samyawadi Dal (Marxist Leninwadi)
BKSJP,Bharatiya Krantikari Swatantra Jan Parishad
BKSS,Bharti Krishak Seva Samaj
BKUS,Bharatiya Krishi Udyog Sangh
BKVD,Bundelkhand Vikas Dal
BLKD,Bharatiya Lok Kalyan Dal
BLLP,Bharti Lok Lehar Party
BLP,Bharatiya Labour Party
BLPP(PBH),Bodoland People's Party (Premsing Brahma Group)
BLPY,Bharatiya Lok Panchayat
BLTMD,Bharatiya Lok Tantrik Mazdoor Dal
BLTP,Bahujan Loktantrik Party
BMC,Bharatha Makkal Congress
BMD,Bharat Mukti Dal
BMF,Bharatiya Momin Front
BMM,Bundelkhand Mukti Morcha
BMP(AI),Bharatiya Muhabbat Party (All India)
BMP(S),Bharatiya Muslim Party (Siddiqui)
BMRD,Bharatiya Manav Raksha Dal
BMSKM,Bhartiya Mahashakti Morcha
BMSM,Bharatiya Minorities Suraksha Mahasangh
BND,Bharatiya Naujawan Dal
BNJP,Bharathiya Nethaji Party
BNJS,Bharat Nav Jyoti Sangh
BNP,Bharat Nirudyog Party
BNRP,Bharatiya Nagrik Party
BOP,Bira Oriya Party
BPF,Bharat Pensioner's Front
BPI,Bolshevik Party of India
BPM,Bharatiya Parivartan Morcha
BPNS,Brij Pradesh Nirman Sangh
BPP,Bhartiya Pragatisheel Party
BPSP,Bihar People's Party
BPTP,Bharatiya Prajatantra Party
BRAP,Bahujan Rashtriya Party
BRC,Bharatiya Rajiv Congress
BRD,Bharatiya Rashtrawadi Dal
BRED,Bharatiya Rashtriya Ekta Dal
BRJJCP,Bharatiya Rashtriya Jan Jagran Congress Party
BRJP,Bharatiya Rashtriya Janhit Party
BRKP,Bhartiya Rakshak Party
BRM,Bharatiya Rashtriya Morcha
BRMD,Bharatiya Rashtriya Mazdoor Dal
BRP,Bharatiya Rashtriya Party
BRPP,Bharatiya Republican Paksha
BRS,Bharatiya Rashtriya Sangh
BRVP,Bhartiya Vikas Party
BSD,Bharatiya Samaj Dal
BSGP(S),Bharatiya Sanghathit Party (S)
BSHD,Bharatiya Shramik Dal
BSK,Bharatiya Sarvkalayan Kranti Dal
BSKPB,Bharatiya Samaj Kalyan Party Bharat
BSM,Bharteey Samajvadi Morcha
BSMP,Bharatiya Samata Party
BSP,Bahujan Samaj Party
BSP(R),Bahujan Samaj Party (Raj Bahadur)
BSSM,Bharatiya Samaj Sangathan Morcha
BSVD,Bharatiya Seva Dal
BSVP,Bharatiya Samajwadi Vikas Party
BVP,Bahujan Vikas Party
BYS,Bharatiya Yuva Shakti
CDF,Christian Democratic Front
CFA,Cooperator's Front of Assam
CKMP,Chhattisgarh Kisan Mazdoor Party
CMK,Christian Mannetra Kazhagam
CMM,Chhattisgarh Mukti Morcha
CMPKSC,Communist Marxist Party Kerala State Committee
COP,Congress of People
CP,Chanakya Party
CPI,Communist Party of India
CPIM,Communist Party of India (Marxist)
CPI(ML)(L),Communist Party of India (Marxist-Lenninist) (Liberation)
CRP,Chhattisgarh Rajya Party
CSP,Chhattisgarhi Samaj Party
CSPJSD,Chotanagpur Santhal Pargana Jan Seva Dal
CVP,Champaran Vikas Party
DBJ,Desh Bachao Jan Morcha
DBP,Desh Bhakt Party
DBSM,Democratic Bahujan Samaj Morcha
DDP,Doordarshi Party
DFB,Democratic Forward Bloc
DIP,Democratic Insaf Party
DJD(JK),Democratic Janta Dal (J&K)
DJMM,Democratic Jharkhand Mukti Morcha
DKP,Deseeya Karshaka Party
DM,Democratic Movement
DMK,Dravida Munnetra Kazhagam
DMKP,Dalit Mazdoor Kishan Party
DP,Dravida Peravai
DPC,Denzong People's Chogpa
DPI,Democratic Party of India
DPK,Desia Pathukappu Kazhagam
DPNF,Desh Punjab Niyaye Front
DPP,Delhi Poorvanchal Party
DSP,Dalit Samaj Party
DSP(P),Democratic Socialist Party (Prabodh Chandra)
DTMK,Dhiravida Thelgar Munnetra Kalagam
DVP,Delhi Vikas Party
DVSP,Divya Shakti Party
EKD(UP),Ekta Kranti Dal U.P.
EP,Ekta Party
ESP,Ekta Samaj Party
EU,Ephraim Union
FCI,Federal Congress of India
FB(S),Forward Bloc (Socialist)
FOS,Federation of Sabhas
GAVP,Gujarat Adijati Vikash Paksh
GBBD,Gramya Bharat Bhoomi Dal
GDF,Gorkha Democratic Front
GGP,Gondvana Gantantra Party
GGS,Ganatantrik Gana Sammilan
GIP,Golden India Party
GJJP,Gujarat Janata Parishad
GJP,Garib Janata Party
GMK,Grama Munnetra Kazhagam
GMLP,Gommant Lok Pokx
GNC,Garo National Council
GNLF,Gorakha National Liberation Front
GPI,Green Party of India
GRC,Gandhiwadi Rashtriya Congress
GS,Gurjar Sangh
GSP,Gareebjan Samaj Party
GVP,Goa Vikas Party
GYVP,Gujarat Yuva Vikas Party
HBP,Haryana Bhoomiheen Party
HCYM,Haryana Chhatra Yuva Morcha
HD,Hind Desham
HDC,Haryana Democratic Congress
HDVP,Hind Vikas Party
HGP,Hindustani Gareebwadi Party
HIP,Hindustan Inqualab Party
HJKP,Hul Jhharkhand Party
HJP,Hindustan Janta Party
HKMP,Hind Kisan Mazdoor Party
HKP,Himachal Kranti Party
HLD,Haryana Lok Dal
HM,Hind Morcha
HNP,Hind National Party
HPP,Hindu Praja Party
HRPI,Human Rights Party of India
HS,Himachal Sangam
HSGP,Hind Swarajya Ganatantra Party
HSP,Hindu Samaj Party
HSPP,Hindustani Samajwadi Peoples Party
HSPS(B),Hindustan Samajwadi Prajatantar Sena (Bharat)
HTP,Hindustan Party
IBSP,Indian Bahujan Smajwadi Party
IDP,Indian Democratic Party
IDPP,Indian Democratic Peoples Party
IDSP,Indian Democratic Socialist Party
IFWP,Indian Farmers And Workers Party
ILC,Indian Labour Congress
ILF,Indian Liberation Front
IMC,Indian Muslim Congress
INC,Indian National Congress
INDP,Internationalist Democratic Party
INGP,Indian National Green Party
INL,Indian National League
INLD,Indian National Lok Dal
INLP,Indian National Labour Party
INP,Indian National Party
INSF,Indian National Secular Front
IPC,Indian People's Congress
IPF,Indian People's Front
IPI,Islamic Party of India
IRF,Indian Republican Front
ISC,Indian Secular Congress
IUML,Indian Union Muslim League
JBP,Jai Bharat Party
JCPB,Janata Congress Party of Bharatvarsha
JD(S),Janata Dal (Secular)
JD(U),Janata Dal (United)
JD(A),Janata Dal (A)
JD(D)R,Janata Dal (D) Rajasthan
JD(P),Janata Dal (Pragatisheel)
JEM,Jan Ekta Morcha
JHM,Janhit Morcha
JKAL,Jammu And Kashmir Awami League
JKNC,Jammu & Kashmir National Conference
JKNPP,Jammu & Kashmir National Panthers Party
JKANC,Jammu & Kashmir Awami National Conference
JKC,Janata Kranti Congress
JKMP,Jawan Kisan Mazdur Party
JKNPP,J & K National Panthers Party
JKP,Jharkhand Party
JKPDP,Jammu & Kashmir Peoples Democratic Party
JKP(N),Jharkhand Party (Naren)
JKPF,Jammu And Kashmir Peoples Front
JKPP,Jharkhand People's Party
JLF,Jharkhand Liberation Front
JMM,Jharkhand Mukti Morcha
JMM(U),Jharkhand Mukti Morcha (Ulgulan)
JN,Jananishta
JNJMKP,Jai Naujawan Jai Mazdoor Kissan Party
JNKM,Jan Kranti Morcha
JPC,Jammu & Kashmir People Conference
JPR,Jana Priya
JPS,Jan Parishad
JPSS,Janadhipathiya Samrekshna Samiti
JSAP,Jan Satta Party
JSMP,Jan Samanta Party
JSP,Jan Sewa Party
JSS,Jan Sevek Sanghathan
JSWP,Jan Swarajya Party
JTKM,Jatiya Kranti Manch
JTP,Jai Telengana Party
JVP,Janata Vikas Party
KAADMK,Kanchee Aringer Anna Dravida Makkal Kazhagam
KBP,Krantikari Berozgar Party
KCVP,Kannada Chalavali Vatal Paksha
KD,Kisan Desham
KDC,Kamarajar Deseeya Congress
KDP,Kannada Desha Party
KEC,Kerala Congress
KEC(M),Kerala Congress (M)
KGP,Karnataka Ganaparishath
KGS,Kanpur Grameen Sansthan
KKD,Karnataka Kranthi Dal
KM,Kalyan Morcha
KMBP,Kisan Mazdoor Bahujan Party
KMGR,Kisan Mazdoor Gaon Raj
KMK,Kaivinayger Munnetra Kazhagam
KMM,Krantikari Manuwadi Morcha
KNA,Kuki National Assembly
KP,Kannada Paksha
KPR,Karnataka Pragatiranga
KRD,Kranti Dal
KRP,Kranti Parishad
KRRS,Karnataka Rajya Ryota Sangha
KRS,Kranti Sabha
KSM,Krantikari Samajwadi Manch
KSP,Kosal Party
KSPL,Krantikari Samajwadi Party Lohia
KTKD,Kisan Kranti Dal
KTMK,Karnataka Thamizhar Munnetra Kazhagam
KTVP,Karnataka Vikas Party
KVMP,Kisan Vyawasayee Mazdoor Party
KVP,Kisan Vikas Party
KVSB,"Kamjor Varg Sangh,Bihar"
LBP,Lok Bhalai Party
LC,Lattin Congress
LD,Lok Dal
LFPP,Life Peaceful Party
LHP,Lok Hit Party
LJP,Lok Jan Shakti Party
LJSP,Loktantrik Jan Samta Party
LJSPI,Labour And Job Seeker's Party of India
LM,Lok Hit Morcha
LP,Lok Party
LPI(V),Labour Party of India (V.V.Prasad)
LPP,Lairam People Party
LSAB,Lok Swarajya Abhiyan
LSAN,Lok Swaraj Andholan
LSP,Lok Seva Parishad
LSS,Lok Swarajya Sangh
LSWP,Loktantrik Samajwadi Party
LVP,Labour Vikas Party
MADMK,M.G.R.Anna D.M.Kazhagam
MAG,Maharashtrawadi Gomantak
MAP,Mahila Adhikar Party
MB,Mukt Bharat
MB(S)P,Mool Bharati (S) Party
MBT,Majlis Bachao Tahreek
MBVP,Matra Bhoomi Vikas Party
MC(J),Maydhaavi Congress (J)
MCO,Marxist Co-Ordination
MCPI(S),Marxist Communist Party of India (S.S.Srivastava)
MDF,Maraland Democratic Front
MDMK,Marumalarchi Dravida Munnetra Kazhagam
MELPHC,Marxist Engelist Leninist Proletariat Health Commune
MGRK,M.G.R. Kazhagam
MGRM,M.G.R.Munnai
MHPC,Manipur Hill People's Council
MJD,Mizoram Janata Dal
MKSD,Manav Kalyan Sangh Dal
MKVP,Mahakaushal Vikas Party
MMK,M.G.R.Mannetra Kazhagam
MMMK,M.G.R.Makkal Munnetra Kazhagam
MMS,Mahabharath Mahajan Sabha
MMUP,Muslim Majlis Uttar Pradesh
MNF(D)C,Mizo National Front (Democrats)-Chawanzuala
MNK(PLP),Makkal Nalurimaik Kazhagam (People's Liberal Party)
MNPC,Manipur People's Council
MP,Manava Party
MPP,Manipur Peoples Party
MPKP,Maharashtra Pradesh Krantikari Party
MPLP,Madhya Pradesh Loktantrik Party
MPP(D),Manipur People's Party (Democratic)
MPPP,Meghalaya Progressive Peoples Party
MRC,Maharashtra Rashtravadi Congress
MRP,Maharashtra Republican Party
MSE,Makkal Sakthi Eyakkam
MSP,Manav Samaj Party
MSWP,Manav Sewa Party
MT,Marumalarchi Thamizhakam
MUL,Muslim League Kerala State Committee
MVC,Maharashtra Vikas Congress
MVMK,Moovendar Munnetra Kazhagam
MVP,Manav Vikas Party
NCFD,National Confederation
NCP,Nationalist Congress Party
NCP(SP),Nationalist Congress Party (Sharadchandra Pawar)
NCP(R),Navabharath Congress Party (R)
NCY,National Congress of Youth
NDM,Nationalist Democratic Movement
NDP,National Democratic Party
NDPF,National Democratic Peoples Front
NINM,New India National Movement
NIP,New India Party
NJSP,Netaji Subhash Party
NLP,National Loktantrik Party
NLPP,Nagaland Peoples Party
NMNP,Nidaye Malik (N) Party
NMP,National Minorities Party
NMVP,Nav Maharashtra Vikas Party
NNLP,Naga National Party
NNNS,Nava Nirmana Nagarika Samithi
NOC,National Organisation Congress
NP,National Party
NPC,Nagaland People's Council
NPF,Nagaland Peoples Front
NPI,Nationalist Party of India
NPP,National People's Party
NRP,National Republican Party
NSBP,Netaji Subhas Biplabi Parishad
NSP,National Students Party
NVAS,Nag Vidarbha Andolan Samiti
NVPP,Native People's Party
NYP,Nayee Party
OJM,Odisha Jan Morcha
OMM,Orissa Mukti Morcha
OCG,Orissa Congress
OCP,Orissa Communist Party
OKKKGP,Orissa Khandayat Khetriya Krusak Gana Parishad
OSP,Orissa Socialist Party
OVP,Orissa Vikash Parishad
PBRML,Paschim Banga Rajya Muslim League
PDF,People's Democratic Front
PDI,Peoples Democracy of India
PDLI,Peoples Democratic League of India
PDP,Peoples Democratic Party
PHJP(S),Progressive Hul Jharkhand Party (Shibu Group)
PHK,Pavitra Hindustan Kaazhagam
PJD,Punjabi Dal
PJM,Punjab Janata Morcha
PJP,People's Justice Party
PJPP,Punjab People's Party
PKD,Punjab Kairon Dal
PM,Panchal Morcha
PMK,Pattali Makkal Katchi
PMMM,Pondicherry Mannila Makkal Munnani
PMSP,Pragatisheel Manav Samaj Party
PP,Praja Party
PPA,People's Party of Arunachal
PPI,People's Party of India
PPNMS,Political Party of National Management Service
PPOI,Pyramid Party of India
PPP,Parvatiya Punrutthaan Parishad
PPVP,Punjab Pradesh Vikas Party
PRC,Poorvanchal Rashtriya Congress
PRISM,Prism
PRP,Panchayat Raj Party
PSJP,Parivartan Samaj Party
PSP,Pragatisheel Party
PSP(K),Praja Socialist Party (Kerala)
PSPP,People's Party of Prants
PSS,Pratap Shiv Sena
PSSS,Proutist Sarva Samaj Samiti
PT,Puthiya Tamilagam
PTCA,Plains Tribals Council of Assam
PUPSP,Paschimi Uttar Pradesh Swaraja Party
PVP(P),Punjab Vikas Party (Punjab)
PVSP,Pichhadavarg Samaj Party
PWPI,Peasants And Workers Party of India
QED,Quami Ekta Dal
QJD,Quami Janta Dal
QM,Quami Morcha
QP,Quami Party
RAD,Rashtriya Agraniye Dal
RADP,Rashtriya Deshaj Party
RAJSP,Rashtriya Janadhikar Suraksha Party
RAJUP,Rashtriya Janutthan Party
RALOP,Rashtriya Lokwadi Party
RALP,Rashtrawadi Labour Party
RAPD,Rashtriya Apna Dal
RASAP,Rashtriya Sahara Party
RASD,Rashtravadi Aarthik Swatantrata Dal
RASJP,Rashtriya Janhit Party
RBC,Republican Backward Congress
RBCP,Rashtriya Bahujan Congress Party
RBD,Rashtra Bhakt Dal
RBHP,Rashtriya Bahujan Hitay Party
RBS,Republican Bahujan Sena
RC(BJ),Rashtriya Congress (Babu Jagjivanram)
RCHP,Rani Chennamma Party
RCP,Rashtravadi Communist Party
RCPI(R),Revolutionary Communist Party of India (Rasik Bhatt)
RDHP,Rajyadhikara Party
RDMP,Rashtriya Dehat Morcha Party
RDSD,Rajasthan Dev Sena Dal
RGOP,Rashtriya Gondvana Party
RIM,Rashtriya Independent Morcha
RJAP,Rashtriya Janadhikar Party
RJD,Rashtriya Janata Dal
RJJM,Rashtriya Jan-Jagran Morcha
RJMO,Rashtriya Jan Morcha
RJNP,Rashtriya Janasachetan Party (R.J.P.)
RJP,Rashtriya Janta Party
RJPK,Rashtriya Janwadi Party (Krantikari)
RJPP,Rashtriya Janpriya Party
RJSD,Rashtriya Jan Sahay Dal
RJVP,Rajasthan Vikas Party
RKJP,Rashtriya Krantikari Janata Party
RKSP,Rashtriya Krantikari Samajwadi Party
RLD,Rashtriya Lok Dal
RLP,Rashtriya Lokhit Party
RLSP,Rashtriya Lok Samata Party
RMEP,Rashtriya Mazdoor Ekta Party
RMGLMP,Rashtriya Mangalam Party
RMGP,Rashtriya Mahan Gantantra Party
RMP,Rashtriya Morcha Party
RMSP,Rashtriya Machhua Samaj Party
RND,Rashtriya Naujawan Dal
RNSP,Rajya Nojawan Shakti Party
RP(K),Republican Paksha (Khoripa)
RPC(S),Rashtriya Praja Congress (Secular)
RPD,Rashtriya Parivartan Dal
RPI,Republican Party of India
RPI(A),Republican Party of India (A)
RPI(D),Republican Party of India (Democratic )
RPI(KH),Republican Party of India (Khobragade)
RPIE,Republician Party of India Ektawadi
RPP,Rashtriya Pragati Party
RPPI,Republican Presidium Party of India
RRD,Rashtriya Raksha Dal
RRS,Rayalaseema Rashtra Samithi
RSBP,Rashtriya Swabhimaan Party
RSD,Rashtriya Sawarn Dal
RSMD,Rashtriya Samanta Dal
RSP,Revolutionary Socialist Party
RSP,Rashtriya Samaj Paksha
RSP(B),Revolutionary Socialist Party of Kerala (Bolshevik)
RSP(S),Rastriya Samajwadi Party (Secular)
RSSDP,Rashtriya Sant Sandesh Party
RSUPRP,Rashtriya Surya Prakash Party
RSWD,Rashtra Sewa Dal
RTKP,Rashtriya Kranti Party
RUC,Rashtriya Ulama Council
RVLP,Rashtriya Viklang Party
RVNP,Rashtravadi Janata Party
RVP,Rashtriya Vikas Party
RWS,Rashtrawadi Sena
RWSP,Rashtrawadi Samaj Party
RYS,Rashtriya Yuva Sangh
SAD,Shiromani Akali Dal
SAD(M),Shiromani Akali Dal (Amritsar)(Sim
SAD(M),Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
SAMO,Samruddha Odisha
SAMSP,Samata Samadhan Party
SAP,Samata Party
SBSP,Suheldev Bhartiya Samaj Party
SDF,Sikkim Democratic Front
SDPI,Social Democratic Party of India
SGF,Save Goa Front
SGPP,Sikkim Gorkha Prajatantric Party
SHRP,Sikkim Himali Rajya Parishad Par
SHS,Shivsena
SJ(D),Socialist Janata (Democratic)
SJEP,Sikkim Jan-Ekta Party
SJP(R),Samajwadi Janata Party (Rashtriya)
SJTP,Samajik Jantantrik Party
SKD,Samata Kranti Dal
SKM,Sikkim Krantikari Morcha
SKP,Sarvodaya Karnataka Paksha
SLP(I),Socialist Party (India)
SLP(L),Socialist Party (Lohia)
SLWP,Socialist Workers Party
SMBHP,Smast Bhartiya Party
SP,Samajwadi Party
SP(I),Socialist Party (India)
SPA,Social Action Party
SRJP,Sarva Janata Party
SRP,Socialist Republican Party
SSBD,Shakti Sena (Bharat Desh)
SSD,Sanyukt Samajwadi Dal
SSD,Shoshit Samaj Dal
SSKD,Sarva Samaj Kalyan Party
SSPD,Sarvajan Samaj Party (D)
STBP,Swatantra Bharat Paksha
STPI,Samajtantric Party of India
SUCI(C),Socialist Unity Centre of India (Communist)
SUSP,Sunder Samaj Party
SVPP,Sardar Vallabhbhai Patel Party
SVRP,Shivrajya Party
SVSP,Savarn Samaj Party
SWJP,Samajwadi Jan Parishad
SWP,Swabhimani Paksha
SWPI,Swarajya Party Of India
TDP,Telugu Desam
TNG,Telugu Nava Garjana
TMC,Trina Mool Congress
TPGC,Tripura Pragatishil Gramin Congress
TPPP,Trilinga Praja Pragati Party
TRS,Telangana Rashtra Samithi
TDI,Tamilar Desiya Iyyakkam
TDK,Tamil Desiyak Katchi
TGIR,The Great India' Revolutioners
TGPP,Telangana Praja Party
THMM,Tharasu Makkal Mandram
THPI,The Humanist Party of India
TKD,Tarai Kranti Dal
TLK,Tamilar Kazhagam
TMK,Thayaka Marumalarchi Kazhagam
TNDGTC,Tamil Nadu Deseeya Grameeya Thozhilalar Congress
TNHVYK,Tamil Nadu Hindu Vellalar Youth Kazhagam
TNKMI,Tamil Nadu Kamaraj Makkal Iyakkam
TNMC,Tamil Nadu Makkal Congress
TNPP,Tamil Nadu People's Party
TNPWA,Tamil Nadu People's Welfare Association
